question=['chicago' 'illinois' 'houston' 'texas'], predicted=iowa
question=['chicago' 'illinois' 'dallas' 'texas'], predicted=iowa
question=['chicago' 'illinois' 'jacksonville' 'florida'], predicted=alabama
question=['chicago' 'illinois' 'indianapolis' 'indiana'], predicted=iowa
question=['chicago' 'illinois' 'austin' 'texas'], predicted=iowa
question=['chicago' 'illinois' 'tucson' 'arizona'], predicted=iowa
question=['chicago' 'illinois' 'fresno' 'california'], predicted=tulare
question=['chicago' 'illinois' 'sacramento' 'california'], predicted=iowa
question=['chicago' 'illinois' 'mesa' 'arizona'], predicted=sica
question=['chicago' 'illinois' 'oakland' 'california'], predicted=iowa
question=['chicago' 'illinois' 'wichita' 'kansas'], predicted=topeka
question=['chicago' 'illinois' 'arlington' 'texas'], predicted=virginia
question=['chicago' 'illinois' 'bakersfield' 'california'], predicted=appalachian
question=['chicago' 'illinois' 'anaheim' 'california'], predicted=county
question=['chicago' 'illinois' 'lexington' 'kentucky'], predicted=virginia
question=['chicago' 'illinois' 'stockton' 'california'], predicted=davenport
question=['houston' 'texas' 'phoenix' 'arizona'], predicted=cyclops
question=['houston' 'texas' 'jacksonville' 'florida'], predicted=alabama
question=['houston' 'texas' 'indianapolis' 'indiana'], predicted=tennessee
question=['houston' 'texas' 'detroit' 'michigan'], predicted=arkansas
question=['houston' 'texas' 'mesa' 'arizona'], predicted=coated
question=['houston' 'texas' 'wichita' 'kansas'], predicted=arkansas
question=['houston' 'texas' 'bakersfield' 'california'], predicted=oklahoma
question=['houston' 'texas' 'tampa' 'florida'], predicted=faced
question=['houston' 'texas' 'lexington' 'kentucky'], predicted=virginia
question=['houston' 'texas' 'toledo' 'ohio'], predicted=louisiana
question=['philadelphia' 'pennsylvania' 'austin' 'texas'], predicted=iowa
question=['philadelphia' 'pennsylvania' 'tucson' 'arizona'], predicted=southeastern
question=['philadelphia' 'pennsylvania' 'fresno' 'california'], predicted=monterey
question=['philadelphia' 'pennsylvania' 'sacramento' 'california'], predicted=oregon
question=['philadelphia' 'pennsylvania' 'mesa' 'arizona'], predicted=ogof
question=['philadelphia' 'pennsylvania' 'oakland' 'california'], predicted=county
question=['philadelphia' 'pennsylvania' 'arlington' 'texas'], predicted=virginia
