question=['accra' 'ghana' 'amman' 'jordan'], predicted=libya
question=['accra' 'ghana' 'ankara' 'turkey'], predicted=libya
question=['accra' 'ghana' 'antananarivo' 'madagascar'], predicted=mayotte
question=['accra' 'ghana' 'asmara' 'eritrea'], predicted=djibouti
question=['accra' 'ghana' 'astana' 'kazakhstan'], predicted=almaty
question=['accra' 'ghana' 'baku' 'azerbaijan'], predicted=kazakhstan
question=['accra' 'ghana' 'bangkok' 'thailand'], predicted=singapore
question=['accra' 'ghana' 'beirut' 'lebanon'], predicted=libya
question=['accra' 'ghana' 'berlin' 'germany'], predicted=leipzig
question=['accra' 'ghana' 'bern' 'switzerland'], predicted=manitobans
question=['accra' 'ghana' 'bishkek' 'kyrgyzstan'], predicted=kazakhstan
question=['accra' 'ghana' 'bratislava' 'slovakia'], predicted=hungary
question=['accra' 'ghana' 'bujumbura' 'burundi'], predicted=malawi
question=['accra' 'ghana' 'canberra' 'australia'], predicted=fiji
question=['accra' 'ghana' 'chisinau' 'moldova'], predicted=ukraine
question=['accra' 'ghana' 'dakar' 'senegal'], predicted=africa
question=['accra' 'ghana' 'dhaka' 'bangladesh'], predicted=lesotho
question=['accra' 'ghana' 'doha' 'qatar'], predicted=wto
question=['algiers' 'algeria' 'amman' 'jordan'], predicted=angola
question=['algiers' 'algeria' 'ankara' 'turkey'], predicted=armenia
question=['algiers' 'algeria' 'antananarivo' 'madagascar'], predicted=country
question=['algiers' 'algeria' 'asmara' 'eritrea'], predicted=angola
question=['algiers' 'algeria' 'astana' 'kazakhstan'], predicted=azerbaijan
question=['algiers' 'algeria' 'baghdad' 'iraq'], predicted=afghanistan
question=['algiers' 'algeria' 'bamako' 'mali'], predicted=country
question=['algiers' 'algeria' 'belgrade' 'serbia'], predicted=albania
question=['algiers' 'algeria' 'berlin' 'germany'], predicted=czechoslovakia
question=['algiers' 'algeria' 'bern' 'switzerland'], predicted=cantons
question=['algiers' 'algeria' 'bratislava' 'slovakia'], predicted=albania
question=['algiers' 'algeria' 'bucharest' 'romania'], predicted=albania
